platform,precision,test_type,parameter_name,parameter_value,median,p95,p99,std,unit,n_trials,timestamp
M1,Q8_0,ttft,prompt_length,512,574.1859,583.1589,584.9407,5.3484,ms,10,2026-04-14T11:06:03
M1,Q8_0,ttft,prompt_length,1024,1181.275,1196.6734,1199.9951,8.623,ms,10,2026-04-14T11:06:03
M2,F16,e2e_latency,output_length,32,975.4754,977.6308,978.0716,1.2187,ms,9,2026-04-13T20:36:08
M2,F16,e2e_latency,output_length,64,1888.7401,1925.2812,1932.3087,21.5745,ms,10,2026-04-13T20:36:08
M2,F16,e2e_latency,output_length,128,3652.9985,3667.9001,3668.0349,10.5459,ms,9,2026-04-13T20:36:08
M2,F16,per_token_latency,context_length,64,27.7216,27.7345,27.7383,0.01,ms,8,2026-04-13T20:36:08
M2,F16,per_token_latency,context_length,128,27.7445,27.9842,28.0048,0.1098,ms,10,2026-04-13T20:36:08
M2,F16,per_token_latency,context_length,256,28.8272,28.8732,28.8748,0.0254,ms,9,2026-04-13T20:36:08
M2,F16,per_token_latency,context_length,512,29.7024,29.9571,29.9977,0.1278,ms,9,2026-04-13T20:36:08
M2,F16,per_token_latency,context_length,1024,31.2382,31.2687,31.2694,0.0255,ms,9,2026-04-13T20:36:08
M2,F16,throughput,output_length,32,31.4824,31.7023,31.7063,0.1349,tokens/s,10,2026-04-13T20:36:08
M2,F16,throughput,output_length,64,33.0522,33.0938,33.0995,0.0375,tokens/s,7,2026-04-13T20:36:08
M2,F16,throughput,output_length,128,34.0529,34.3514,34.3531,0.2106,tokens/s,10,2026-04-13T20:36:08
M2,F16,ttft,prompt_length,64,62.6221,62.7653,62.8011,0.0772,ms,10,2026-04-13T20:36:08
M2,F16,ttft,prompt_length,128,114.9535,115.0976,115.1066,0.0788,ms,9,2026-04-13T20:36:08
M2,F16,ttft,prompt_length,256,220.4547,220.5593,220.5798,0.0714,ms,10,2026-04-13T20:36:08
M2,F16,ttft,prompt_length,512,446.1176,446.1903,446.1917,0.0549,ms,8,2026-04-13T20:36:08
M2,F16,ttft,prompt_length,1024,920.8612,921.3592,921.3926,0.3131,ms,10,2026-04-13T20:36:08
M2,Q4_K_M,e2e_latency,output_length,32,508.8374,509.1735,509.264,0.2131,ms,10,2026-04-13T20:27:49
M2,Q4_K_M,e2e_latency,output_length,64,894.7745,898.9142,899.1325,2.7827,ms,8,2026-04-13T20:27:49
M2,Q4_K_M,e2e_latency,output_length,128,1668.8499,1669.1125,1669.1542,0.2477,ms,8,2026-04-13T20:27:49
M2,Q4_K_M,per_token_latency,context_length,64,12.2453,12.4019,12.4076,0.1016,ms,9,2026-04-13T20:27:49
M2,Q4_K_M,per_token_latency,context_length,128,12.0604,12.6341,12.7773,0.3015,ms,9,2026-04-13T20:27:49
M2,Q4_K_M,per_token_latency,context_length,256,13.1571,13.165,13.1656,0.0085,ms,7,2026-04-13T20:27:49
M2,Q4_K_M,per_token_latency,context_length,512,13.9706,13.9737,13.9742,0.0033,ms,9,2026-04-13T20:27:49
M2,Q4_K_M,per_token_latency,context_length,1024,15.5376,15.5421,15.543,0.0033,ms,9,2026-04-13T20:27:49
M2,Q4_K_M,throughput,output_length,32,62.8702,63.5705,63.6412,0.309,tokens/s,9,2026-04-13T20:27:49
